Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒁟,73823,𒁟,1205F,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GUD,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠥⠙
𒁠,73824,𒁠,12060,letter,CUNEIFORM SIGN DAG KISIM5 TIMES HA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠓⠁
𒁡,73825,𒁡,12061,letter,CUNEIFORM SIGN DAG KISIM5 TIMES IR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗
𒁢,73826,𒁢,12062,letter,CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗⠬⠇⠥
𒁣,73827,𒁣,12063,letter,CUNEIFORM SIGN DAG KISIM5 TIMES KAK,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠅⠁⠅
𒁤,73828,𒁤,12064,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠁
𒁥,73829,𒁥,12065,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥
𒁦,73830,𒁦,12066,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠬⠍⠁⠩
𒁧,73831,𒁧,12067,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LUM,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠍
𒁨,73832,𒁨,12068,letter,CUNEIFORM SIGN DAG KISIM5 TIMES NE,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠝⠑
𒁩,73833,𒁩,12069,letter,CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠏⠁⠏⠬⠏⠁⠏
𒁪,73834,𒁪,1206A,letter,CUNEIFORM SIGN DAG KISIM5 TIMES SI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠎⠊
𒁫,73835,𒁫,1206B,letter,CUNEIFORM SIGN DAG KISIM5 TIMES TAK4,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠞⠁⠅⠲
𒁬,73836,𒁬,1206C,letter,CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠬⠛⠊⠗
𒁭,73837,𒁭,1206D,letter,CUNEIFORM SIGN DAG KISIM5 TIMES USH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠩
𒁮,73838,𒁮,1206E,letter,CUNEIFORM SIGN DAM,⠙⠁⠍
𒁯,73839,𒁯,1206F,letter,CUNEIFORM SIGN DAR,⠙⠜
𒁰,73840,𒁰,12070,letter,CUNEIFORM SIGN DARA3,⠙⠜⠁⠒
𒁱,73841,𒁱,12071,letter,CUNEIFORM SIGN DARA4,⠙⠜⠁⠲
𒁲,73842,𒁲,12072,letter,CUNEIFORM SIGN DI,⠙⠊
𒁳,73843,𒁳,12073,letter,CUNEIFORM SIGN DIB,⠙⠊⠃
𒁴,73844,𒁴,12074,letter,CUNEIFORM SIGN DIM,⠙⠊⠍
𒁵,73845,𒁵,12075,letter,CUNEIFORM SIGN DIM TIMES SHE,⠙⠊⠍⠡⠩⠑
𒁶,73846,𒁶,12076,letter,CUNEIFORM SIGN DIM2,⠙⠊⠍
𒁷,73847,𒁷,12077,letter,CUNEIFORM SIGN DIN,⠙⠊⠝
𒁸,73848,𒁸,12078,letter,CUNEIFORM SIGN DIN KASKAL U GUNU DISH,⠙⠊⠝ ⠅⠁⠎⠅⠁⠇ ⠥ ⠛⠥⠝⠥ ⠙⠊⠩
𒁹,73849,𒁹,12079,letter,CUNEIFORM SIGN DISH,⠙⠊⠩
𒁺,73850,𒁺,1207A,letter,CUNEIFORM SIGN DU,⠙⠥
𒁻,73851,𒁻,1207B,letter,CUNEIFORM SIGN DU OVER DU,⠙⠥⠌⠙⠥
𒁼,73852,𒁼,1207C,letter,CUNEIFORM SIGN DU GUNU,⠙⠥ ⠛⠥⠝⠥
𒁽,73853,𒁽,1207D,letter,CUNEIFORM SIGN DU SHESHIG,⠙⠥ ⠩⠑⠩⠊⠛
𒁾,73854,𒁾,1207E,letter,CUNEIFORM SIGN DUB,⠙⠥⠃
𒁿,73855,𒁿,1207F,letter,CUNEIFORM SIGN DUB TIMES ESH2,⠙⠥⠃⠡⠑⠩
𒂀,73856,𒂀,12080,letter,CUNEIFORM SIGN DUB2,⠙⠥⠃
𒂁,73857,𒂁,12081,letter,CUNEIFORM SIGN DUG,⠙⠥⠛
𒂂,73858,𒂂,12082,letter,CUNEIFORM SIGN DUGUD,⠙⠥⠛⠥⠙
