Character,Hex,Logic,Type,Name,Braille
𒄈,12108,6,letter,GIRI2,⠛⠊⠗⠊⠆
𒄉,12109,7,letter,GIR2gunu,⠛⠊⠗⠆⠛⠥⠝⠥
𒄊,1210A,701,letter,PIRIG,⠏⠊⠗⠊⠛
𒄋,1210B,703,letter,GIR3xA+IGI,⠛⠊⠗⠒⠭⠁⠬⠊⠛⠊
𒄌,1210C,675,letter,GIRI16,⠛⠊⠗⠊⠂⠖
𒄍,1210D,238,letter,GIR3xIGI,⠛⠊⠗⠒⠭⠊⠛⠊
𒄎,1210E,702,letter,GIR3xLU+IGI,⠛⠊⠗⠒⠭⠇⠥⠬⠊⠛⠊
𒄏,1210F,238,letter,GIR3xPA,⠛⠊⠗⠒⠭⠏⠁
𒄐,12110,376,letter,GISAL,⠛⠊⠎⠁⠇
𒄑,12111,469,letter,GEsh,⠛⠑⠩
𒄒,12112,469,letter,GIshcrossingGIsh,⠛⠊⠩⠉⠗⠕⠎⠎⠊⠝⠛⠛⠊⠩
𒄓,12113,471,letter,GIshxBAD,⠛⠊⠩⠭⠃⠁⠙
𒄔,12114,128,letter,GIshxTAK4,⠛⠊⠩⠭⠞⠁⠅⠲
𒄕,12115,470,letter,GUR17,⠛⠥⠗⠂⠶
𒄖,12116,891,letter,GU,⠛⠥
𒄗,12117,892,letter,SUH,⠎⠥⠓
𒄘,12118,176,letter,GU2,⠛⠥⠆
𒄙,12119,178,letter,DUR,⠙⠥⠗
𒄚,1211A,238,letter,GU2xKAKxIGIgunu,⠛⠥⠆⠭⠅⠁⠅⠭⠊⠛⠊⠛⠥⠝⠥
𒄛,1211B,128,letter,GU2xNUN,⠛⠥⠆⠭⠝⠥⠝
𒄜,1211C,,letter,GU2xSAL+TUG2,⠛⠥⠆⠭⠎⠁⠇⠬⠞⠥⠛⠆
𒄝,1211D,509,letter,USAN2,⠥⠎⠁⠝⠆
𒄞,1211E,472,letter,GU4,⠛⠥⠲
𒄟,1211F,238,letter,GUDxA+KUR,⠛⠥⠙⠭⠁⠬⠅⠥⠗
