Character,Hex,Type,Name,Braille
𒌴,12334,letter,UR4,⠥⠗⠲
𒌵,12335,letter,URI,⠥⠗⠊
𒌶,12336,letter,URI3,⠥⠗⠊⠒
𒌷,12337,letter,URU,⠥⠗⠥
𒌸,12338,letter,URU TIMES A,⠥⠗⠥⠡⠁
𒌹,12339,letter,URU TIMES ASHGAB,⠥⠗⠥⠡⠁⠩⠛⠁⠃
𒌺,1233A,letter,URU TIMES BAR,⠥⠗⠥⠡⠃⠜
𒌻,1233B,letter,URU TIMES DUN,⠥⠗⠥⠡⠙⠥⠝
𒌼,1233C,letter,URU TIMES GA,⠥⠗⠥⠡⠛⠁
𒌽,1233D,letter,URU TIMES GAL,⠥⠗⠥⠡⠛⠁⠇
𒌾,1233E,letter,URU TIMES GAN2 TENU,⠥⠗⠥⠡⠛⠁⠝ ⠞⠑⠝⠥
𒌿,1233F,letter,URU TIMES GAR,⠥⠗⠥⠡⠛⠜
𒍀,12340,letter,URU TIMES GU,⠥⠗⠥⠡⠛⠥
𒍁,12341,letter,URU TIMES HA,⠥⠗⠥⠡⠓⠁
𒍂,12342,letter,URU TIMES IGI,⠥⠗⠥⠡⠊⠛⠊
𒍠,12360,letter,ZAG,⠵⠁⠛
𒍡,12361,letter,ZAMX,⠵⠁⠍⠭
𒍢,12362,letter,ZE2,⠵⠑
𒍣,12363,letter,ZI,⠵⠊
𒎀,12380,letter,KA TIMES GISH,⠅⠁⠡⠛⠊⠩
𒎁,12381,letter,KA TIMES GUD,⠅⠁⠡⠛⠥⠙
𒎂,12382,letter,KA TIMES HI TIMES ASH2,⠅⠁⠡⠓⠊⠡⠁⠩
𒎃,12383,letter,KA TIMES LUM,⠅⠁⠡⠇⠥⠍
𒎄,12384,letter,KA TIMES PA,⠅⠁⠡⠏⠁
𒎅,12385,letter,KA TIMES SHUL,⠅⠁⠡⠩⠥⠇
𒎆,12386,letter,KA TIMES TU,⠅⠁⠡⠞⠥
𒎇,12387,letter,KA TIMES UR2,⠅⠁⠡⠥⠗
𒎈,12388,letter,LAGAB TIMES GI,⠇⠁⠛⠁⠃⠡⠛⠊
𒎉,12389,letter,LU2 SHESHIG TIMES BAD,⠇⠥ ⠩⠑⠩⠊⠛⠡⠃⠁⠙
𒎊,1238A,letter,LU2 TIMES ESH2 PLUS LAL,⠇⠥⠡⠑⠩⠬⠇⠁⠇
𒎋,1238B,letter,LU2 TIMES SHU,⠇⠥⠡⠩⠥
𒎌,1238C,letter,MESH,⠍⠑⠩
𒎍,1238D,letter,MUSH3 TIMES ZA,⠍⠥⠩⠒⠡⠵⠁
𒎎,1238E,letter,NA4,⠝⠁⠲
𒎏,1238F,letter,NIN,⠝⠊⠝
𒎐,12390,letter,NIN9,⠝⠊⠝⠔
𒎑,12391,letter,NINDA2 TIMES BAL,⠝⠊⠝⠙⠁⠡⠃⠁⠇
𒎒,12392,letter,NINDA2 TIMES GI,⠝⠊⠝⠙⠁⠡⠛⠊
𒎓,12393,letter,NU11 ROTATED NINETY DEGREES,⠝⠥⠂⠂⠩
𒎔,12394,letter,PESH2 ASTERISK,⠏⠑⠩⠡
𒎕,12395,letter,PIR2,⠏⠊⠗
𒎖,12396,letter,SAG TIMES IGI GUNU,⠎⠁⠛⠡⠊⠛⠊ ⠛⠥⠝⠥
𒎗,12397,letter,TI2,⠞⠊
𒎘,12398,letter,UM TIMES ME,⠥⠍⠡⠍⠑
𒍿,1237F,letter,KA TIMES ASH3,⠅⠁⠡⠁⠩⠒
𒍾,1237E,letter,KA TIMES ANSHE,⠅⠁⠡⠁⠝⠩⠑
𒍽,1237D,letter,HUSH,⠓⠥⠩
𒍯,1236F,letter,KAP ELAMITE,⠅⠁⠏ ⠑⠇⠁⠍⠊⠞⠑
𒍤,12364,letter,ZI OVER ZI,⠵⠊⠌⠵⠊
𒍥,12365,letter,ZI3,⠵⠊⠒
